"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 19-Oct-2023"
"NIFTY MIDSMALL HEALTHCARE","42,071.70","42,340.10","41,719.05","42,158.25","42,280.10","-","121.85","0.29","2,01,79,825","1,721.24","43,357.45","20,019.15","0.12","-"
"ABBOTINDIA","28,347.95","29,300.00","28,290.00","28,371.70","29,049.90","-","678.20","2.39","17,456","50.58","30,521.00","22,000.00","5.13","28.93"
"ALKEM","6,012.50","6,158.00","6,012.50","6,023.00","6,154.00","-","131.00","2.17","2,53,430","154.19","6,439.90","3,509.95","0.70","69.61"
"LAURUSLABS","465.50","482.25","461.00","466.20","475.45","-","9.25","1.98","37,71,206","177.96","518.00","349.40","-2.11","19.87"
"GLAXO","2,659.00","2,690.45","2,615.25","2,651.15","2,689.80","-","38.65","1.46","1,28,125","33.83","3,088.00","1,385.05","-4.73","73.01"
"FORTIS","596.10","615.80","595.85","603.55","611.35","-","7.80","1.29","9,76,974","59.16","628.50","313.80","2.80","82.61"
"LALPATHLAB","3,316.95","3,382.75","3,312.10","3,312.70","3,355.00","-","42.30","1.28","2,12,769","71.47","3,653.95","1,943.70","3.70","33.83"
"ASTERDM","415.90","427.10","411.00","419.65","424.80","-","5.15","1.23","4,86,959","20.53","558.00","311.10","1.02","28.05"
"JBCHEPHARM","1,884.45","1,905.00","1,858.95","1,884.45","1,904.00","-","19.55","1.04","1,50,736","28.42","2,030.00","1,244.45","1.85","41.34"
"NATCOPHARM","1,392.00","1,403.85","1,365.60","1,389.20","1,399.00","-","9.80","0.71","4,12,879","57.21","1,639.00","724.20","-9.36","67.75"
"GLAND","1,639.00","1,655.55","1,598.60","1,639.65","1,650.05","-","10.40","0.63","4,06,250","65.86","2,220.95","1,475.05","-10.39","2.59"
"POLYMED","2,437.10","2,475.00","2,415.00","2,432.35","2,444.00","-","11.65","0.48","55,525","13.58","2,686.60","1,250.10","-2.01","77.72"
"PPLPHARMA","224.00","228.30","218.01","224.22","224.99","-","0.77","0.34","41,38,095","92.98","243.99","87.50","-1.74","127.44"
"BIOCON","337.45","342.55","332.50","339.05","339.85","-","0.80","0.24","23,64,315","80.05","395.80","217.50","-6.52","44.41"
"LUPIN","2,180.65","2,196.70","2,153.65","2,176.30","2,180.50","-","4.20","0.19","6,92,637","150.78","2,312.00","1,123.00","-2.03","81.64"
"METROPOLIS","2,189.60","2,218.00","2,175.75","2,187.80","2,192.00","-","4.20","0.19","71,188","15.69","2,318.30","1,360.05","3.29","46.06"
"AUROPHARMA","1,460.00","1,481.55","1,450.00","1,468.65","1,470.50","-","1.85","0.13","4,37,609","64.27","1,592.00","834.65","-4.32","66.66"
"GRANULES","588.00","601.95","577.35","594.45","595.10","-","0.65","0.11","17,10,223","101.27","721.00","318.95","9.10","69.03"
"GLENMARK","1,725.05","1,747.20","1,715.30","1,735.30","1,735.50","-","0.20","0.01","3,89,351","67.44","1,830.95","722.10","5.61","119.18"
"IPCALAB","1,630.05","1,673.55","1,630.05","1,647.30","1,647.00","-","-0.30","-0.02","4,06,426","67.05","1,708.65","933.10","14.04","74.24"
"MAXHEALTH","942.50","942.50","924.80","937.25","936.00","-","-1.25","-0.13","11,30,741","105.62","1,118.00","538.65","-2.65","61.65"
"SYNGENE","875.85","885.55","873.40","878.55","876.85","-","-1.70","-0.19","2,52,024","22.17","945.25","607.65","-1.72","23.04"
"KIMS","542.00","564.95","533.85","542.15","538.90","-","-3.25","-0.60","3,49,113","19.09","580.00","350.00","-0.88","-72.65"
"NH","1,275.00","1,290.95","1,250.00","1,283.00","1,275.00","-","-8.00","-0.62","1,78,772","22.80","1,444.90","979.95","0.24","20.48"
"SUVENPHAR","1,251.00","1,271.00","1,220.00","1,249.95","1,240.65","-","-9.30","-0.74","4,45,076","55.42","1,287.90","541.00","8.30","115.81"
"MEDANTA","1,094.00","1,094.00","1,055.80","1,078.00","1,065.00","-","-13.00","-1.21","3,78,740","40.47","1,513.90","708.00","-4.22","37.69"
"AJANTPHARM","3,233.05","3,233.05","3,156.05","3,236.55","3,192.05","-","-44.50","-1.37","62,004","19.77","3,485.00","1,650.05","2.51","80.57"
"MANKIND","2,667.75","2,682.90","2,610.05","2,683.85","2,645.00","-","-38.85","-1.45","1,50,001","39.63","2,835.00","1,683.05","10.50","47.03"
"RAINBOW","1,430.35","1,444.95","1,418.00","1,452.15","1,428.50","-","-23.65","-1.63","49,797","7.14","1,649.00","992.95","10.77","32.82"
"SANOFI","6,877.00","6,877.00","6,728.10","6,877.05","6,750.05","-","-127.00","-1.85","9,043","6.13","10,524.95","5,892.80","-5.34","-9.24"
"APLLTD","1,165.00","1,180.85","1,150.00","1,185.35","1,157.00","-","-28.35","-2.39","92,361","10.70","1,303.90","707.15","-2.45","43.51"
