"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 19-Oct-2023"
"NIFTY COMMODITIES","9,176.05","9,300.65","9,094.40","9,186.05","9,287.65","-","101.60","1.11","21,17,06,904","8,600.06","9,896.35","6,154.70","-0.53","44.03"
"JINDALSTEL","929.80","973.20","923.70","930.00","965.00","-","35.00","3.76","26,96,607","257.85","1,097.00","581.60","-5.89","42.89"
"NMDC","222.65","232.40","219.65","224.02","231.50","-","7.48","3.34","1,04,51,906","239.34","286.35","149.20","9.11","41.64"
"SRF","2,262.95","2,333.35","2,259.95","2,262.95","2,325.00","-","62.05","2.74","6,01,744","138.78","2,693.95","2,082.25","-2.62","3.16"
"HINDALCO","734.80","756.45","725.05","734.80","753.20","-","18.40","2.50","54,74,367","408.83","772.65","448.75","9.96","57.00"
"PIIND","4,459.95","4,590.80","4,407.05","4,463.00","4,560.00","-","97.00","2.17","2,46,269","111.12","4,804.05","3,220.00","-2.02","30.29"
"ADANIENSOL","1,015.55","1,046.00","1,004.00","1,021.65","1,042.95","-","21.30","2.08","21,62,032","223.46","1,348.00","686.00","6.47","37.38"
"TATASTEEL","152.40","156.20","151.10","152.40","155.50","-","3.10","2.03","3,47,50,795","536.20","184.60","114.60","3.18","23.33"
"NTPC","417.70","425.95","414.45","417.75","425.10","-","7.35","1.76","88,28,971","372.94","448.45","227.75","2.61","77.43"
"VEDL","472.65","483.65","464.00","472.15","480.40","-","8.25","1.75","1,03,34,732","491.01","523.65","211.20","7.26","111.69"
"JSWSTEEL","978.50","998.25","973.10","979.50","995.00","-","15.50","1.58","12,91,683","128.03","1,063.00","723.00","3.75","27.18"
"GRASIM","2,700.00","2,766.00","2,674.65","2,705.85","2,746.00","-","40.15","1.48","3,45,996","94.68","2,877.75","1,828.05","1.40","39.75"
"APLAPOLLO","1,555.00","1,585.00","1,532.60","1,552.25","1,569.70","-","17.45","1.12","2,62,552","41.15","1,788.35","1,305.00","9.65","-7.23"
"SAIL","126.50","130.59","125.42","127.83","129.08","-","1.25","0.98","2,63,63,209","339.03","175.35","81.80","-0.48","45.80"
"PIDILITIND","3,154.45","3,304.40","3,154.45","3,154.45","3,184.00","-","29.55","0.94","10,63,134","345.04","3,415.00","2,292.55","-0.26","34.07"
"ACC","2,265.10","2,289.65","2,236.15","2,265.10","2,283.00","-","17.90","0.79","2,05,894","46.58","2,844.00","1,803.00","-7.74","12.56"
"TATAPOWER","449.90","456.50","443.05","450.20","453.55","-","3.35","0.74","1,10,45,862","499.46","494.85","230.80","2.94","79.98"
"IOC","163.30","165.97","161.74","164.28","165.30","-","1.02","0.62","1,17,01,011","191.77","196.80","85.50","-1.84","82.40"
"ULTRACEMCO","11,017.30","11,139.95","10,901.00","11,017.30","11,084.00","-","66.70","0.61","3,30,703","365.71","12,138.00","8,155.55","-4.83","29.94"
"UPL","554.00","557.75","542.60","553.70","557.00","-","3.30","0.60","14,02,020","77.41","628.25","447.80","-8.24","-9.50"
"JSWENERGY","680.00","681.95","666.10","676.55","679.50","-","2.95","0.44","23,58,804","158.87","804.90","347.50","-9.84","68.43"
"SHREECEM","24,201.00","24,375.00","24,088.05","24,245.10","24,349.55","-","104.45","0.43","6,317","15.32","30,737.75","23,700.00","-3.00","-7.50"
"ONGC","282.00","284.50","279.20","281.60","282.60","-","1.00","0.36","1,40,28,398","395.36","345.00","179.90","-2.44","52.07"
"COALINDIA","488.00","493.75","483.35","489.90","491.05","-","1.15","0.23","45,73,163","224.31","543.55","302.90","1.05","56.35"
"RELIANCE","2,704.35","2,736.85","2,682.65","2,712.85","2,717.00","-","4.15","0.15","60,41,226","1,639.51","3,217.60","2,220.30","-7.12","17.88"
"ADANIPOWER","609.00","613.90","595.05","609.10","609.50","-","0.40","0.07","22,79,512","138.06","895.85","289.35","-6.18","77.50"
"ADANIGREEN","1,735.00","1,745.50","1,703.00","1,733.55","1,734.00","-","0.45","0.03","4,10,948","70.97","2,174.10","815.55","-11.01","86.07"
"AMBUJACEM","571.50","577.40","558.95","571.25","571.10","-","-0.15","-0.03","52,08,678","294.63","706.95","404.05","-7.44","31.20"
"BPCL","342.70","343.90","334.30","342.70","342.60","-","-0.10","-0.03","73,28,694","248.60","376.00","165.73","1.90","-3.17"
"HINDPETRO","430.40","435.30","422.65","433.35","431.00","-","-2.35","-0.54","49,41,502","212.60","457.15","159.47","5.93","64.86"
"NHPC","84.85","84.85","83.01","84.95","84.30","-","-0.65","-0.77","3,49,70,175","293.43","118.40","48.40","-10.87","61.63"
