"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 19-Oct-2023"
"NIFTY INDIA CONSUMPTION","12,030.05","12,053.40","11,930.40","12,066.20","12,026.90","-","-39.30","-0.33","17,84,71,216","13,814.00","13,057.60","8,260.10","-6.16","41.08"
"EICHERMOT","4,613.90","4,799.90","4,612.05","4,623.85","4,761.75","-","137.90","2.98","7,78,795","370.04","5,105.00","3,275.00","-3.98","36.91"
"HAVELLS","1,805.55","1,865.00","1,763.65","1,805.55","1,845.05","-","39.50","2.19","26,38,593","482.44","2,106.00","1,232.85","-9.69","43.06"
"NAUKRI","7,990.00","8,110.20","7,910.70","7,979.60","8,110.20","-","130.60","1.64","1,40,631","112.97","8,472.00","3,972.05","-0.21","92.45"
"DLF","860.90","880.35","846.75","861.00","874.00","-","13.00","1.51","24,92,488","216.07","967.60","513.50","-0.28","58.48"
"TVSMOTOR","2,678.95","2,753.80","2,651.10","2,679.25","2,718.00","-","38.75","1.45","5,70,397","154.98","2,958.00","1,548.50","-3.54","70.12"
"COLPAL","3,370.25","3,433.85","3,349.00","3,370.25","3,399.65","-","29.40","0.87","2,54,765","86.58","3,890.00","2,005.00","-7.22","60.89"
"TATAPOWER","449.90","456.50","443.05","450.20","453.55","-","3.35","0.74","1,10,45,862","499.46","494.85","230.80","2.12","83.33"
"TATACONSUM","1,090.15","1,098.15","1,072.05","1,090.15","1,097.00","-","6.85","0.63","9,53,926","103.50","1,256.44","863.37","-10.16","21.61"
"TRENT","7,720.00","7,800.00","7,630.10","7,719.65","7,765.80","-","46.15","0.60","5,71,161","442.11","8,345.00","1,945.00","4.06","281.51"
"INDIGO","4,600.00","4,697.00","4,573.60","4,624.00","4,647.80","-","23.80","0.51","6,24,908","291.25","5,035.00","2,388.85","-4.91","91.18"
"VBL","594.00","599.40","578.70","588.40","589.50","-","1.10","0.19","49,08,521","290.72","681.12","331.26","-10.04","-36.43"
"ADANIPOWER","609.00","613.90","595.05","609.10","609.50","-","0.40","0.07","22,79,512","138.06","895.85","289.35","-8.08","80.73"
"BHARTIARTL","1,710.00","1,716.10","1,685.20","1,701.15","1,702.00","-","0.85","0.05","41,54,915","708.13","1,779.00","895.45","-0.23","80.69"
"M&M","2,945.35","2,988.85","2,914.70","2,964.60","2,965.00","-","0.40","0.01","34,07,751","1,009.29","3,222.10","1,450.00","0.45","90.23"
"INDHOTEL","685.80","693.00","680.40","687.30","686.55","-","-0.75","-0.11","22,67,035","155.95","720.45","371.60","-2.28","69.58"
"MAXHEALTH","942.50","942.50","924.80","937.25","936.00","-","-1.25","-0.13","11,30,741","105.62","1,118.00","538.65","-12.22","60.50"
"MARUTI","12,070.00","12,141.25","11,844.45","12,143.75","12,127.00","-","-16.75","-0.14","5,06,871","611.26","13,680.00","9,737.65","-4.04","12.86"
"HEROMOTOCO","5,217.45","5,288.65","5,146.05","5,217.45","5,210.00","-","-7.45","-0.14","4,27,617","223.34","6,246.25","3,041.50","-13.25","62.44"
"APOLLOHOSP","6,983.30","7,041.65","6,950.00","6,989.30","6,970.20","-","-19.10","-0.27","2,36,651","165.54","7,316.95","4,726.00","-1.41","40.29"
"TITAN","3,395.00","3,422.35","3,296.10","3,403.35","3,394.00","-","-9.35","-0.27","12,49,585","420.94","3,886.95","3,055.65","-10.95","3.53"
"ITC","488.75","491.55","478.40","488.90","486.15","-","-2.75","-0.56","2,17,78,099","1,051.08","528.50","399.35","-5.38","11.04"
"HINDUNILVR","2,738.65","2,740.00","2,693.45","2,738.65","2,722.95","-","-15.70","-0.57","11,37,277","308.72","3,035.00","2,172.05","-8.75","8.90"
"BAJAJ-AUTO","10,049.55","10,149.10","9,841.10","10,119.45","10,041.30","-","-78.15","-0.77","15,43,331","1,544.84","12,774.00","5,125.65","-15.72","83.34"
"UNITDSPR","1,525.00","1,526.95","1,502.00","1,528.15","1,515.00","-","-13.15","-0.86","7,09,462","107.45","1,647.50","993.85","-3.49","-"
"GODREJCP","1,350.00","1,358.95","1,333.00","1,347.30","1,333.00","-","-14.30","-1.06","6,58,127","88.21","1,541.85","959.80","-8.27","35.22"
"NESTLEIND","2,380.00","2,383.65","2,326.10","2,378.70","2,350.00","-","-28.70","-1.21","16,39,185","384.82","2,778.00","2,310.05","-12.94","-90.32"
"ASIANPAINT","3,057.00","3,069.00","2,980.60","3,055.85","2,998.85","-","-57.00","-1.87","8,99,318","271.41","3,422.95","2,670.10","-9.52","-3.66"
"BRITANNIA","5,984.95","5,998.00","5,870.00","5,988.50","5,870.00","-","-118.50","-1.98","3,54,901","209.89","6,469.90","4,347.70","-5.21","28.54"
"DMART","4,100.00","4,114.00","3,975.10","4,087.70","3,990.00","-","-97.70","-2.39","10,94,839","439.46","5,484.85","3,620.00","-25.07","6.33"
"ZOMATO","256.90","270.30","255.25","270.55","259.20","-","-11.35","-4.20","10,80,15,952","2,819.86","298.25","101.25","-11.38","127.13"
