"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 19-Oct-2023"
"NIFTY INDIA DIGITAL","9,365.20","9,420.25","9,331.35","9,442.25","9,390.05","-","-52.20","-0.55","46,78,17,557","13,170.02","9,794.65","4,924.40","-1.77","44.53"
"PAYTM","690.15","729.90","670.40","696.15","722.55","-","26.40","3.79","1,09,13,448","771.32","998.30","310.00","8.00","-25.12"
"WIPRO","532.00","558.40","524.80","528.75","547.75","-","19.00","3.59","3,73,26,527","2,048.85","579.90","375.05","1.95","38.79"
"TATACOMM","1,819.00","1,880.70","1,808.10","1,830.05","1,873.45","-","43.40","2.37","6,69,944","124.61","2,175.00","1,543.40","-6.12","5.41"
"NAUKRI","7,990.00","8,110.20","7,910.70","7,979.60","8,110.20","-","130.60","1.64","1,40,631","112.97","8,472.00","3,972.05","4.49","93.56"
"IRCTC","869.35","883.85","862.70","871.75","880.00","-","8.25","0.95","8,91,309","78.01","1,138.90","635.55","-2.71","25.92"
"TCS","4,090.00","4,146.15","4,080.00","4,109.00","4,130.50","-","31.50","0.77","23,61,000","973.03","4,592.25","3,311.00","-5.13","19.31"
"OFSS","11,473.70","11,599.00","11,301.05","11,502.45","11,590.00","-","87.55","0.76","77,607","89.32","12,619.00","3,868.80","2.88","188.76"
"MPHASIS","3,070.00","3,108.90","3,002.40","3,080.20","3,096.00","-","15.80","0.51","9,65,115","295.67","3,187.80","2,069.10","3.04","36.94"
"BSOFT","593.10","597.60","576.00","593.50","595.00","-","1.50","0.25","27,64,403","162.32","861.85","509.55","-5.70","8.20"
"BHARTIARTL","1,710.00","1,716.10","1,685.20","1,701.15","1,702.00","-","0.85","0.05","41,54,915","708.13","1,779.00","895.45","3.20","81.12"
"IDEA","9.05","9.10","8.86","9.05","9.05","-","-","-","27,31,23,417","246.08","19.18","8.86","-30.08","-24.83"
"TATATECH","1,055.00","1,067.45","1,044.55","1,059.90","1,059.90","-","-","-","8,09,483","85.52","1,400.00","970.10","-0.53","-"
"PERSISTENT","5,530.00","5,541.00","5,403.10","5,536.00","5,527.00","-","-9.00","-0.16","1,77,195","96.96","5,689.95","1,406.44","6.30","-5.86"
"POLICYBZR","1,680.00","1,710.00","1,654.80","1,685.05","1,680.00","-","-5.05","-0.30","6,74,150","113.96","1,966.50","661.30","-6.76","128.83"
"KPITTECH","1,780.00","1,802.45","1,769.00","1,792.20","1,783.00","-","-9.20","-0.51","3,44,483","61.43","1,928.70","1,091.20","3.42","47.24"
"COFORGE","7,211.05","7,233.95","7,130.05","7,257.25","7,219.30","-","-37.95","-0.52","2,91,745","209.85","7,585.00","4,287.25","5.10","41.14"
"TATAELXSI","7,360.00","7,362.05","7,275.00","7,365.10","7,324.55","-","-40.55","-0.55","72,674","53.21","9,200.00","6,411.20","-4.07","-4.87"
"HCLTECH","1,867.00","1,873.90","1,843.00","1,867.80","1,856.55","-","-11.25","-0.60","23,66,406","439.21","1,885.00","1,212.05","5.76","46.58"
"TECHM","1,695.00","1,702.40","1,645.60","1,699.00","1,685.15","-","-13.85","-0.82","31,19,646","525.28","1,709.90","1,098.15","5.14","44.00"
"NYKAA","186.00","186.00","181.91","186.23","184.36","-","-1.87","-1.00","45,69,090","83.89","229.80","136.50","-7.45","27.53"
"AFFLE","1,573.00","1,581.00","1,537.50","1,581.55","1,565.00","-","-16.55","-1.05","1,05,207","16.41","1,715.00","988.15","0.74","46.23"
"CYIENT","1,848.75","1,856.00","1,807.05","1,858.85","1,830.00","-","-28.85","-1.55","2,56,135","46.87","2,458.95","1,542.10","-11.10","3.83"
"LTTS","5,230.00","5,284.00","5,118.05","5,242.50","5,151.20","-","-91.30","-1.74","3,83,959","199.16","6,000.00","4,111.00","-6.32","17.51"
"INDIAMART","3,010.00","3,066.60","2,969.05","3,038.05","2,983.00","-","-55.05","-1.81","3,02,849","91.68","3,198.40","2,230.00","0.81","9.14"
"INTELLECT","871.00","871.00","854.00","871.00","855.00","-","-16.00","-1.84","1,17,610","10.13","1,199.00","625.00","-12.84","25.39"
"SONATSOFTW","614.60","614.60","603.30","620.20","607.00","-","-13.20","-2.13","2,88,604","17.54","870.00","469.60","-7.28","-45.21"
"TANLA","821.20","839.50","800.30","856.95","826.65","-","-30.30","-3.54","9,88,765","80.92","1,248.00","782.05","-12.10","-19.55"
"ZOMATO","256.90","270.30","255.25","270.55","259.20","-","-11.35","-4.20","10,80,15,952","2,819.86","298.25","101.25","-6.67","130.59"
"INFY","1,893.80","1,936.85","1,869.25","1,968.10","1,885.00","-","-83.10","-4.22","1,05,26,196","1,991.11","1,991.45","1,351.65","-0.66","31.11"
"LTIM","6,380.00","6,380.00","5,960.00","6,394.45","6,007.00","-","-387.45","-6.06","10,19,092","616.71","6,574.95","4,513.55","-5.88","9.78"
