"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 19-Oct-2023"
"NIFTY DIVIDEND OPPORTUNITIES 50","6,658.20","6,701.40","6,613.70","6,700.60","6,689.70","-","-10.90","-0.16","47,90,74,849","22,483.11","7,012.65","4,464.15","-1.70","45.56"
"NMDC","222.65","232.40","219.65","224.02","231.50","-","7.48","3.34","1,04,51,906","239.34","286.35","149.20","8.89","46.43"
"M&MFIN","283.00","293.40","279.30","282.15","291.10","-","8.95","3.17","34,09,122","98.26","343.00","237.35","-9.28","4.73"
"NATIONALUM","224.00","232.80","218.70","225.17","231.72","-","6.55","2.91","2,99,37,444","684.67","232.80","88.60","26.13","145.24"
"SHRIRAMFIN","3,187.75","3,373.90","3,145.75","3,258.60","3,350.00","-","91.40","2.80","18,76,041","614.44","3,652.25","1,760.85","-5.31","78.22"
"BANKBARODA","240.65","248.75","237.85","241.96","247.50","-","5.54","2.29","1,09,82,434","268.95","299.70","187.85","5.30","22.58"
"CANBK","102.10","104.99","100.77","102.50","104.60","-","2.10","2.05","1,99,68,661","206.66","128.90","68.42","-0.28","-71.66"
"TATASTEEL","152.40","156.20","151.10","152.40","155.50","-","3.10","2.03","3,47,50,795","536.20","184.60","114.60","2.22","26.23"
"NTPC","417.70","425.95","414.45","417.75","425.10","-","7.35","1.76","88,28,971","372.94","448.45","227.75","0.24","76.33"
"VEDL","472.65","483.65","464.00","472.15","480.40","-","8.25","1.75","1,03,34,732","491.01","523.65","211.20","6.87","115.87"
"OIL","525.10","546.95","522.75","525.10","532.85","-","7.75","1.48","46,24,545","248.04","767.90","195.47","-5.22","65.37"
"LICHSGFIN","611.80","619.90","601.30","611.80","619.60","-","7.80","1.27","9,56,834","58.64","826.75","432.00","-7.37","34.60"
"SBIN","811.10","822.60","802.90","811.05","819.95","-","8.90","1.10","1,17,04,698","954.64","912.00","543.20","4.95","45.69"
"SAIL","126.50","130.59","125.42","127.83","129.08","-","1.25","0.98","2,63,63,209","339.03","175.35","81.80","2.18","48.48"
"INDIANB","512.50","522.00","507.40","512.80","517.40","-","4.60","0.90","5,69,461","29.43","632.70","390.90","1.80","22.28"
"COLPAL","3,370.25","3,433.85","3,349.00","3,370.25","3,399.65","-","29.40","0.87","2,54,765","86.58","3,890.00","2,005.00","-7.22","60.89"
"BEL","282.90","287.80","277.80","284.55","287.00","-","2.45","0.86","1,00,95,514","287.06","340.50","127.00","3.53","113.97"
"BSE","4,237.00","4,443.00","4,101.00","4,257.55","4,292.15","-","34.60","0.81","57,11,214","2,461.56","4,989.80","1,466.00","7.27","169.23"
"TCS","4,090.00","4,146.15","4,080.00","4,109.00","4,130.50","-","31.50","0.77","23,61,000","973.03","4,592.25","3,311.00","-3.78","17.99"
"PEL","1,039.85","1,063.95","1,015.35","1,036.05","1,043.95","-","7.90","0.76","8,93,456","93.03","1,143.80","736.60","-1.01","2.02"
"OFSS","11,473.70","11,599.00","11,301.05","11,502.45","11,590.00","-","87.55","0.76","77,607","89.32","12,619.00","3,868.80","1.86","194.99"
"PFC","468.80","473.75","457.30","469.45","472.85","-","3.40","0.72","76,42,993","356.97","580.00","225.50","-1.91","90.99"
"CASTROLIND","220.00","223.75","216.26","220.83","222.25","-","1.42","0.64","21,68,930","47.74","284.40","132.40","-11.13","55.51"
"IOC","163.30","165.97","161.74","164.28","165.30","-","1.02","0.62","1,17,01,011","191.77","196.80","85.50","-1.02","83.11"
"CUMMINSIND","3,687.05","3,715.50","3,640.00","3,692.00","3,711.80","-","19.80","0.54","2,00,159","73.95","4,171.90","1,659.05","-2.73","119.20"
"UNIONBANK","111.16","114.27","110.27","111.53","112.11","-","0.58","0.52","1,12,85,455","126.51","172.50","91.25","-9.08","10.94"
"MPHASIS","3,070.00","3,108.90","3,002.40","3,080.20","3,096.00","-","15.80","0.51","9,65,115","295.67","3,187.80","2,069.10","2.23","42.68"
"RECLTD","538.90","548.50","531.00","542.35","544.85","-","2.50","0.46","41,84,490","226.69","654.00","259.45","1.17","89.77"
"ONGC","282.00","284.50","279.20","281.60","282.60","-","1.00","0.36","1,40,28,398","395.36","345.00","179.90","-1.03","52.15"
"COALINDIA","488.00","493.75","483.35","489.90","491.05","-","1.15","0.23","45,73,163","224.31","543.55","302.90","0.25","57.55"
"BANKINDIA","104.00","105.90","102.82","104.68","104.67","-","-0.01","-0.01","37,87,617","39.59","157.95","86.40","-4.97","5.24"
"BPCL","342.70","343.90","334.30","342.70","342.60","-","-0.10","-0.03","73,28,694","248.60","376.00","165.73","3.41","-1.13"
"POWERGRID","331.50","333.85","328.25","331.15","331.00","-","-0.15","-0.05","1,05,69,021","350.87","366.25","196.30","-2.58","63.69"
"HEROMOTOCO","5,217.45","5,288.65","5,146.05","5,217.45","5,210.00","-","-7.45","-0.14","4,27,617","223.34","6,246.25","3,041.50","-13.25","62.44"
"GAIL","222.00","222.18","217.35","222.02","221.65","-","-0.37","-0.17","1,01,50,771","223.40","246.30","116.15","4.37","77.07"
"ANGELONE","3,114.10","3,217.85","3,061.00","3,127.85","3,120.00","-","-7.85","-0.25","41,49,241","1,297.41","3,896.00","2,025.00","20.21","32.90"
"HDFCAMC","4,698.95","4,750.20","4,605.00","4,728.65","4,708.90","-","-19.75","-0.42","3,43,633","161.54","4,864.00","2,690.60","7.57","63.59"
"ITC","488.75","491.55","478.40","488.90","486.15","-","-2.75","-0.56","2,17,78,099","1,051.08","528.50","399.35","-5.38","11.04"
"HINDUNILVR","2,738.65","2,740.00","2,693.45","2,738.65","2,722.95","-","-15.70","-0.57","11,37,277","308.72","3,035.00","2,172.05","-8.75","8.90"
