"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 19-Oct-2023"
"NIFTY INFRASTRUCTURE","9,128.80","9,203.75","9,049.25","9,134.50","9,182.00","-","47.50","0.52","12,92,49,823","8,720.43","9,704.20","5,995.80","-2.89","47.89"
"NTPC","417.70","425.95","414.45","417.75","425.10","-","7.35","1.76","88,28,971","372.94","448.45","227.75","0.24","76.33"
"ASHOKLEY","218.50","223.90","217.80","219.56","223.40","-","3.84","1.75","47,57,980","105.44","264.65","157.55","-6.13","29.66"
"DLF","860.90","880.35","846.75","861.00","874.00","-","13.00","1.51","24,92,488","216.07","967.60","513.50","-0.28","58.48"
"GRASIM","2,700.00","2,766.00","2,674.65","2,705.85","2,746.00","-","40.15","1.48","3,45,996","94.68","2,877.75","1,828.05","3.09","41.85"
"GODREJPROP","3,089.90","3,150.00","3,001.00","3,084.20","3,125.00","-","40.80","1.32","6,06,394","187.64","3,402.70","1,548.80","4.87","89.98"
"SIEMENS","7,720.10","7,854.60","7,565.00","7,717.65","7,795.00","-","77.35","1.00","2,74,616","212.65","8,129.90","3,246.00","14.20","126.71"
"IRCTC","869.35","883.85","862.70","871.75","880.00","-","8.25","0.95","8,91,309","78.01","1,138.90","635.55","-1.48","27.29"
"MOTHERSON","202.00","205.80","198.54","202.91","204.80","-","1.89","0.93","1,38,96,670","282.56","216.99","86.80","1.17","119.87"
"ADANIPORTS","1,389.00","1,410.55","1,376.00","1,394.70","1,405.10","-","10.40","0.75","12,90,065","180.47","1,621.40","754.50","-2.30","77.11"
"TATAPOWER","449.90","456.50","443.05","450.20","453.55","-","3.35","0.74","1,10,45,862","499.46","494.85","230.80","2.12","83.33"
"IOC","163.30","165.97","161.74","164.28","165.30","-","1.02","0.62","1,17,01,011","191.77","196.80","85.50","-1.02","83.11"
"ULTRACEMCO","11,017.30","11,139.95","10,901.00","11,017.30","11,084.00","-","66.70","0.61","3,30,703","365.71","12,138.00","8,155.55","-6.18","30.83"
"CONCOR","864.05","876.00","854.55","868.90","874.00","-","5.10","0.59","14,32,195","124.07","1,180.00","672.20","-2.28","23.26"
"CUMMINSIND","3,687.05","3,715.50","3,640.00","3,692.00","3,711.80","-","19.80","0.54","2,00,159","73.95","4,171.90","1,659.05","-2.73","119.20"
"INDIGO","4,600.00","4,697.00","4,573.60","4,624.00","4,647.80","-","23.80","0.51","6,24,908","291.25","5,035.00","2,388.85","-4.91","91.18"
"SHREECEM","24,201.00","24,375.00","24,088.05","24,245.10","24,349.55","-","104.45","0.43","6,317","15.32","30,737.75","23,700.00","-3.25","-6.74"
"ONGC","282.00","284.50","279.20","281.60","282.60","-","1.00","0.36","1,40,28,398","395.36","345.00","179.90","-1.03","52.15"
"LT","3,569.95","3,592.45","3,540.25","3,570.30","3,579.25","-","8.95","0.25","21,02,609","751.70","3,919.90","2,856.15","-5.70","18.77"
"BHARATFORG","1,471.95","1,485.00","1,454.80","1,471.10","1,473.50","-","2.40","0.16","8,88,822","131.06","1,804.50","1,002.30","-7.33","37.69"
"RELIANCE","2,704.35","2,736.85","2,682.65","2,712.85","2,717.00","-","4.15","0.15","60,41,226","1,639.51","3,217.60","2,220.30","-8.52","18.25"
"BHARTIARTL","1,710.00","1,716.10","1,685.20","1,701.15","1,702.00","-","0.85","0.05","41,54,915","708.13","1,779.00","895.45","-0.23","80.69"
"AMBUJACEM","571.50","577.40","558.95","571.25","571.10","-","-0.15","-0.03","52,08,678","294.63","706.95","404.05","-6.91","33.21"
"BPCL","342.70","343.90","334.30","342.70","342.60","-","-0.10","-0.03","73,28,694","248.60","376.00","165.73","3.41","-1.13"
"POWERGRID","331.50","333.85","328.25","331.15","331.00","-","-0.15","-0.05","1,05,69,021","350.87","366.25","196.30","-2.58","63.69"
"INDUSTOWER","383.65","386.35","378.20","384.75","384.40","-","-0.35","-0.09","26,01,893","99.79","460.35","166.70","-0.95","108.82"
"INDHOTEL","685.80","693.00","680.40","687.30","686.55","-","-0.75","-0.11","22,67,035","155.95","720.45","371.60","-2.28","69.58"
"MRF","1,29,800.00","1,29,950.00","1,28,618.00","1,29,811.75","1,29,599.00","-","-212.75","-0.16","3,964","51.29","1,51,445.00","1,07,008.05","-4.77","18.21"
"GAIL","222.00","222.18","217.35","222.02","221.65","-","-0.37","-0.17","1,01,50,771","223.40","246.30","116.15","4.37","77.07"
"APOLLOHOSP","6,983.30","7,041.65","6,950.00","6,989.30","6,970.20","-","-19.10","-0.27","2,36,651","165.54","7,316.95","4,726.00","-1.41","40.29"
"HINDPETRO","430.40","435.30","422.65","433.35","431.00","-","-2.35","-0.54","49,41,502","212.60","457.15","159.47","8.24","70.80"
