"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 19-Oct-2023"
"NIFTY INDIA MANUFACTURING","14,891.95","15,066.35","14,760.30","14,931.05","15,034.30","-","103.25","0.69","24,15,46,632","23,224.17","-","-","-0.26","52.99"
"MAZDOCK","4,306.00","4,655.00","4,285.00","4,237.80","4,549.00","-","311.20","7.34","84,93,150","3,830.58","5,860.00","1,742.00","8.34","112.53"
"ABREL","2,855.95","3,125.00","2,780.65","2,856.00","3,039.95","-","183.95","6.44","9,92,436","297.85","3,125.00","1,046.45","-","-"
"TEJASNET","1,119.20","1,218.00","1,102.85","1,125.40","1,180.00","-","54.60","4.85","26,23,188","313.31","1,495.00","651.25","-3.61","33.52"
"HONAUT","49,600.00","51,850.00","49,120.10","49,569.15","51,450.00","-","1,880.85","3.79","8,957","45.45","59,994.00","34,977.70","4.10","37.88"
"JINDALSTEL","929.80","973.20","923.70","930.00","965.00","-","35.00","3.76","26,96,607","257.85","1,097.00","581.60","-5.89","42.89"
"EICHERMOT","4,613.90","4,799.90","4,612.05","4,623.85","4,761.75","-","137.90","2.98","7,78,795","370.04","5,105.00","3,275.00","-1.75","36.11"
"SRF","2,262.95","2,333.35","2,259.95","2,262.95","2,325.00","-","62.05","2.74","6,01,744","138.78","2,693.95","2,082.25","-2.62","3.16"
"HINDALCO","734.80","756.45","725.05","734.80","753.20","-","18.40","2.50","54,74,367","408.83","772.65","448.75","9.96","57.00"
"HAVELLS","1,805.55","1,865.00","1,763.65","1,805.55","1,845.05","-","39.50","2.19","26,38,593","482.44","2,106.00","1,232.85","-6.95","35.74"
"TATAMOTORS","894.30","917.70","886.80","891.60","911.00","-","19.40","2.18","1,15,27,914","1,045.40","1,179.00","621.85","-5.39","36.09"
"PIIND","4,459.95","4,590.80","4,407.05","4,463.00","4,560.00","-","97.00","2.17","2,46,269","111.12","4,804.05","3,220.00","-2.02","30.29"
"TATASTEEL","152.40","156.20","151.10","152.40","155.50","-","3.10","2.03","3,47,50,795","536.20","184.60","114.60","3.18","23.33"
"VOLTAS","1,830.00","1,870.00","1,810.00","1,834.60","1,868.00","-","33.40","1.82","16,35,928","303.62","1,944.90","806.70","-1.28","122.36"
"SOLARINDS","11,175.00","11,455.10","10,862.25","11,173.95","11,372.05","-","198.10","1.77","44,420","50.03","13,298.00","4,995.85","6.34","119.43"
"ASHOKLEY","218.50","223.90","217.80","219.56","223.40","-","3.84","1.75","47,57,980","105.44","264.65","157.55","-5.37","26.29"
"VEDL","472.65","483.65","464.00","472.15","480.40","-","8.25","1.75","1,03,34,732","491.01","523.65","211.20","7.26","111.69"
"JSWSTEEL","978.50","998.25","973.10","979.50","995.00","-","15.50","1.58","12,91,683","128.03","1,063.00","723.00","3.75","27.18"
"DIXON","14,965.00","15,453.10","14,909.00","15,130.85","15,370.00","-","239.15","1.58","3,26,908","498.93","15,494.00","5,076.00","9.39","179.58"
"COROMANDEL","1,577.30","1,626.25","1,570.70","1,591.80","1,615.00","-","23.20","1.46","1,19,351","19.21","1,789.00","1,019.05","-6.29","39.74"
"TVSMOTOR","2,678.95","2,753.80","2,651.10","2,679.25","2,718.00","-","38.75","1.45","5,70,397","154.98","2,958.00","1,548.50","-2.47","69.84"
"HINDCOPPER","313.00","326.50","306.90","317.20","321.00","-","3.80","1.20","53,27,489","169.78","415.80","135.65","0.86","105.60"
"TORNTPHARM","3,396.65","3,482.65","3,386.50","3,396.65","3,435.10","-","38.45","1.13","1,87,099","64.46","3,590.70","1,822.55","2.68","79.74"
"APLAPOLLO","1,555.00","1,585.00","1,532.60","1,552.25","1,569.70","-","17.45","1.12","2,62,552","41.15","1,788.35","1,305.00","9.65","-7.23"
"ABB","8,669.05","8,850.00","8,560.05","8,690.70","8,778.00","-","87.30","1.00","1,97,602","172.58","9,149.95","3,850.00","12.82","114.53"
"SIEMENS","7,720.10","7,854.60","7,565.00","7,717.65","7,795.00","-","77.35","1.00","2,74,616","212.65","8,129.90","3,246.00","15.77","125.28"
"BALKRISIND","2,959.00","3,013.10","2,926.45","2,970.75","3,000.00","-","29.25","0.98","64,462","19.21","3,375.00","2,193.80","-1.22","16.40"
"TATACHEM","1,055.05","1,093.45","1,040.00","1,073.85","1,083.95","-","10.10","0.94","21,78,864","231.55","1,349.00","933.00","6.93","5.51"
