"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"NIFTY MICROCAP 250","25,499.20","25,575.65","25,022.10","25,611.60","25,541.50","-","-70.10","-0.27","21,29,12,623","5,072.50","26,066.45","8,567.20","0.12","51.93"
"WABAG","1,768.05","1,905.65","1,680.05","1,777.90","1,897.10","-","119.20","6.70","18,94,092","350.01","1,905.65","440.05","33.91","282.30"
"HEMIPROP","182.50","199.80","179.44","184.27","196.60","-","12.33","6.69","27,93,606","54.36","264.95","123.15","3.32","55.24"
"PARADEEP","89.75","96.50","89.15","90.04","94.90","-","4.86","5.40","1,78,05,097","168.63","98.35","58.65","9.91","41.96"
"PRUDENT","2,574.00","2,721.90","2,514.05","2,574.15","2,684.55","-","110.40","4.29","30,348","8.07","2,847.05","1,093.55","16.30","103.11"
"POLYPLEX","1,112.00","1,159.80","1,089.25","1,113.30","1,159.25","-","45.95","4.13","1,72,900","19.62","1,375.00","751.65","-3.80","1.86"
"PGEL","591.70","632.90","574.10","593.55","616.80","-","23.25","3.92","16,88,155","103.66","694.00","146.71","-3.64","-69.20"
"PURVA","398.00","427.45","391.35","407.20","423.00","-","15.80","3.88","94,002","3.94","569.60","126.80","-","189.01"
"NAZARA","898.00","934.50","878.35","897.25","928.00","-","30.75","3.43","5,24,153","47.49","1,117.00","591.50","-14.77","10.94"
"BOMDYEING","241.00","252.67","235.25","240.92","249.00","-","8.08","3.35","82,56,271","203.51","254.90","134.10","20.23","59.05"
"EMBDL","128.22","134.30","126.01","128.78","132.80","-","4.02","3.12","79,54,189","104.65","164.36","69.00","5.83","-"
"HIKAL","368.75","379.90","360.25","368.45","379.50","-","11.05","3.00","3,99,196","14.82","410.90","250.10","-0.41","31.97"
"JTEKTINDIA","171.80","179.90","168.01","172.37","177.50","-","5.13","2.98","3,10,367","5.47","225.70","126.05","6.65","33.11"
"JLHL","1,357.00","1,390.05","1,324.90","1,349.30","1,389.00","-","39.70","2.94","28,249","3.83","1,653.95","976.90","0.68","30.65"
"CARTRADE","1,014.00","1,054.60","1,010.00","1,015.85","1,045.00","-","29.15","2.87","4,38,141","45.18","1,054.60","612.00","6.93","61.00"
"ASKAUTOLTD","411.00","429.45","407.00","417.80","429.45","-","11.65","2.79","5,10,556","21.33","485.30","240.10","-7.97","-"
"IIFLSEC","431.10","448.95","416.05","432.35","443.75","-","11.40","2.64","10,83,466","46.90","448.95","93.30","34.31","322.98"
"WELENT","541.00","558.80","535.05","544.45","558.80","-","14.35","2.64","1,70,433","9.29","619.00","241.25","-3.29","98.52"
"AVALON","573.95","610.00","559.55","575.95","591.00","-","15.05","2.61","4,44,531","26.39","667.00","425.00","0.55","11.36"
"HARSHA","495.40","511.50","488.00","497.05","510.00","-","12.95","2.61","64,827","3.28","613.85","360.10","-1.78","26.53"
"PAISALO","51.58","52.90","49.50","51.58","52.90","-","1.32","2.56","33,91,748","17.14","99.63","35.23","-17.46","-34.89"
"GREAVESCOT","187.50","197.65","182.65","188.99","193.63","-","4.64","2.46","60,65,712","116.97","197.65","112.05","6.58","46.29"
"SUNFLAG","211.65","220.80","209.10","214.88","220.01","-","5.13","2.39","2,09,016","4.50","274.95","159.05","2.19","14.87"
"CHOICEIN","480.50","497.80","472.30","480.00","491.30","-","11.30","2.35","6,95,849","33.94","497.80","193.50","6.19","14.33"
"AHLUCONT","1,143.00","1,179.25","1,136.30","1,143.25","1,170.00","-","26.75","2.34","1,45,462","16.97","1,542.45","650.00","-1.92","62.56"
"REDTAPE","918.45","949.90","905.95","922.85","943.90","-","21.05","2.28","97,560","9.09","951.90","437.05","28.44","76.14"
"AZAD","1,546.95","1,590.00","1,487.05","1,549.95","1,585.00","-","35.05","2.26","1,53,451","23.89","2,080.00","642.40","5.03","-"
"IONEXCHANG","660.00","678.00","647.70","660.90","675.10","-","14.20","2.15","2,94,593","19.59","768.40","406.95","4.30","11.11"
"IPL","198.00","203.55","197.00","198.88","203.00","-","4.12","2.07","1,55,558","3.11","431.75","191.50","-4.60","-34.92"
"JAIBALAJI","1,072.00","1,126.40","1,055.05","1,072.80","1,095.00","-","22.20","2.07","2,14,996","23.71","1,314.00","529.55","-","-"
"JKIL","729.00","749.00","714.05","732.95","748.00","-","15.05","2.05","82,331","5.98","936.80","393.55","-3.91","61.65"
"STLTECH","120.10","124.29","120.10","121.13","123.44","-","2.31","1.91","20,86,779","25.58","169.95","109.50","-4.39","-24.24"
"SENCO","1,348.05","1,387.95","1,328.10","1,356.80","1,382.00","-","25.20","1.86","2,08,197","28.48","1,544.00","582.00","9.53","101.06"
"IXIGO","161.40","167.00","156.52","161.05","164.01","-","2.96","1.84","9,28,038","15.15","197.50","135.00","7.98","-"
"GANESHHOUC","1,011.80","1,042.25","983.05","1,022.00","1,040.00","-","18.00","1.76","3,23,961","32.68","1,110.00","361.80","26.02","147.23"
"GABRIEL","435.00","446.80","426.55","434.35","441.75","-","7.40","1.70","2,69,094","11.72","559.55","271.55","-14.08","28.31"
"JAMNAAUTO","115.90","119.85","113.90","116.31","118.27","-","1.96","1.69","18,11,085","21.31","149.66","102.35","-3.84","0.01"
"WOCKPHARMA","1,053.05","1,079.95","1,006.10","1,054.65","1,072.00","-","17.35","1.65","3,72,286","38.82","1,126.50","213.25","-","330.74"
"TIPSMUSIC","761.00","802.00","739.00","770.05","782.50","-","12.45","1.62","5,29,935","40.75","875.15","320.05","-","-"
"BLUEJET","519.00","523.40","502.20","512.85","521.00","-","8.15","1.59","42,847","2.20","553.35","319.50","-1.67","-"
"DISHTV","13.59","13.99","13.35","13.59","13.80","-","0.21","1.55","88,01,002","12.00","26.05","12.85","0.43","-22.57"
"BORORENEW","444.90","461.10","438.45","450.35","457.20","-","6.85","1.52","2,71,331","12.26","669.35","391.05","-8.41","10.04"
"SARDAEN","495.00","509.20","484.10","498.45","506.00","-","7.55","1.51","3,39,099","16.97","525.00","180.25","19.68","129.75"
"KRBL","292.80","298.70","289.00","294.25","298.70","-","4.45","1.51","2,56,291","7.50","392.50","258.15","-4.97","-21.25"
